kanban,ordem,status,inicial,final,cor,sla_horas,sla_aviso_pct,mover_entrada,classificacao_obrigatoria,trava_agenda,cria_demanda,cascata_filhos,cascata_netos,filhos_direcionados
Prospectar Soluções,1,Backlog,sim,não,#6B7280,8,80,"Coord, GExec, PO",não,não,,,,
Prospectar Soluções,2,Ajustes,não,não,#c00202,8,80,"Coord, PO",não,não,,,,
Prospectar Soluções,3,Classificação,não,não,#4b0bc1,8,80,Coord,não,não,,,,
Prospectar Soluções,4,Avaliar Classificação,não,não,#6B7280,,80,livre,não,não,,,,
Prospectar Soluções,5,Contratação,não,não,#6B7280,,80,livre,não,não,,,,
Prospectar Soluções,6,Impedimento,não,não,#cc0014,,80,livre,não,não,,,,
Prospectar Soluções,7,Rejeitado,não,não,#d4b802,,80,Coord,não,não,,,,
Prospectar Soluções,8,Concluído,não,sim,#30b300,,80,Coord,não,não,Projetos-Programas,,,
Projetos e Programas,1,Backlog,sim,não,#6B7280,,80,"Coord, PO",sim,não,,,,
Projetos e Programas,2,Agendar Reunião,não,não,#6B7280,,80,livre,não,não,,,,
Projetos e Programas,3,Conduzir Reunião de Levantamento,não,não,#6B7280,,80,livre,não,não,,,,
Projetos e Programas,4,Impedimento,não,não,#e10e0e,,80,livre,não,não,,,,
Projetos e Programas,5,Requisitos / Protótipo,não,não,#6B7280,,80,livre,não,não,,,,
Projetos e Programas,6,Refinamento PO & Tech,não,não,#6B7280,,80,livre,não,não,,Features,User Story,
Projetos e Programas,7,Validar Escopo (Cliente),não,não,#6B7280,,80,livre,não,não,,,,
Projetos e Programas,8,Em Desenvolvimento,não,não,#6B7280,,80,livre,não,sim,,Features,User Story,
Projetos e Programas,9,DevOps (HML),não,não,#6B7280,,80,livre,não,sim,,,,
Projetos e Programas,10,Homologando (Cliente),não,não,#6B7280,,80,livre,não,sim,,,,
Projetos e Programas,11,DEVSECOPS (PROD),não,não,#6B7280,,80,livre,não,sim,,,,
Projetos e Programas,12,Concluído,não,sim,#6B7280,,80,livre,não,não,,,,
Features,1,Backlog,sim,não,#6B7280,,80,livre,não,não,,,,User Story
Features,2,Planejamento (Tech & PO),não,não,#6B7280,,80,livre,não,não,,,,
Features,3,Em Desenvolvimento,não,sim,#6B7280,,80,livre,não,sim,,,,
Features,4,Homologar (PO),não,não,#6B7280,,80,livre,não,sim,,,,
Features,5,Ajustar (Dev),não,não,#6B7280,,80,livre,não,não,,,,
Features,6,Concluído,não,sim,#379504,,80,livre,não,não,,,,User Story
User Story,1,Backlog,sim,não,#6B7280,,80,livre,não,não,,,,
User Story,2,Pronto para Desenvolvimento,não,não,#6AB42F,,80,livre,não,sim,,,,
User Story,3,Impedimento,não,não,#d60000,,80,livre,não,não,,,,
User Story,4,Em Desenvolvimento,não,não,#6AB42F,,80,livre,não,sim,,,,
User Story,5,Code Review,não,não,#6B7280,,80,livre,não,não,,,,
User Story,6,Homologação (PO),não,não,#6B7280,,80,livre,não,sim,,,,
User Story,7,Concluído,não,sim,#6B7280,,80,livre,não,não,,,,
